,0
0,https://www.youtube.com/watch?v=y6TAIXHkO-A
1,https://www.youtube.com/watch?v=qF0PhOrW9KA
2,https://www.youtube.com/watch?v=K02JIslkOio
3,https://www.youtube.com/watch?v=pdZBH0G1nDc
4,https://www.youtube.com/watch?v=b3BxSoneVNE
5,https://www.youtube.com/watch?v=aveS28fDt8Q
6,https://www.youtube.com/watch?v=WAk7XAjRQzc
7,https://www.youtube.com/watch?v=SJKham9Wnn4
8,https://www.youtube.com/watch?v=2QXgikXGOBQ
9,https://www.youtube.com/watch?v=PEgL1MMoPOA
10,https://www.youtube.com/watch?v=J8VX9YmyLKg
11,https://www.youtube.com/watch?v=ITIjlB5Gj3A
12,https://www.youtube.com/watch?v=jVKSUeGXV9w
13,https://www.youtube.com/watch?v=BBrsMrB9SJo
14,https://www.youtube.com/watch?v=KFd3LBxVb5w
15,https://www.youtube.com/watch?v=mcLyjSPunEo
16,https://www.youtube.com/watch?v=mZvrA-60uBU
17,https://www.youtube.com/watch?v=LXbPB95LClI
